episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.628,1,0,15,14,10.0,6.28,20.0,13.333333333333334,40.0,26.666666666666668
2,0.905,1,0,18,17,10.0,9.05,27.77777777777778,11.11111111111111,16.666666666666664,44.44444444444444
3,0.854,1,0,21,20,10.0,8.54,23.809523809523807,23.809523809523807,9.523809523809524,42.857142857142854
4,0.437,1,0,14,13,10.0,4.37,14.285714285714285,28.57142857142857,21.428571428571427,35.714285714285715
5,0.7,1,0,14,13,10.0,7.0,35.714285714285715,28.57142857142857,21.428571428571427,14.285714285714285
6,0.655,1,0,16,15,10.0,6.55,31.25,25.0,25.0,18.75
7,0.767,1,0,26,25,10.0,7.67,11.538461538461538,23.076923076923077,23.076923076923077,42.30769230769231
8,0.604,1,0,14,13,10.0,6.04,35.714285714285715,21.428571428571427,21.428571428571427,21.428571428571427
9,0.569,1,0,14,13,10.0,5.69,14.285714285714285,14.285714285714285,28.57142857142857,42.857142857142854
10,0.77,1,0,14,13,10.0,7.7,21.428571428571427,35.714285714285715,7.142857142857142,35.714285714285715
11,0.776,1,0,25,24,10.0,7.76,24.0,24.0,24.0,28.000000000000004
12,0.67,1,0,13,12,10.0,6.7,7.6923076923076925,30.76923076923077,38.46153846153847,23.076923076923077
13,0.575,1,0,10,9,10.0,5.75,20.0,50.0,20.0,10.0
14,0.544,1,0,14,13,10.0,5.44,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
15,0.655,1,0,23,22,10.0,6.55,34.78260869565217,13.043478260869565,17.391304347826086,34.78260869565217
16,0.688,1,0,18,17,10.0,6.88,27.77777777777778,27.77777777777778,27.77777777777778,16.666666666666664
17,0.7,1,0,14,13,10.0,7.0,21.428571428571427,21.428571428571427,21.428571428571427,35.714285714285715
18,0.6,1,0,8,7,10.0,6.0,25.0,12.5,62.5,0.0
19,0.63,1,0,21,20,10.0,6.3,28.57142857142857,4.761904761904762,42.857142857142854,23.809523809523807
20,0.72,1,0,22,21,10.0,7.2,27.27272727272727,9.090909090909092,31.818181818181817,31.818181818181817
21,0.604,1,0,25,24,10.0,6.04,20.0,28.000000000000004,28.000000000000004,24.0
