episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.523,1,0,13,12,10.0,5.23,38.46153846153847,23.076923076923077,7.6923076923076925,30.76923076923077
2,0.66,1,0,12,11,10.0,6.6,25.0,25.0,8.333333333333332,41.66666666666667
3,0.718,1,0,16,15,10.0,7.18,18.75,37.5,25.0,18.75
4,0.494,1,0,16,15,10.0,4.94,25.0,6.25,37.5,31.25
5,0.522,1,0,11,10,10.0,5.22,9.090909090909092,18.181818181818183,27.27272727272727,45.45454545454545
6,0.413,1,0,11,10,9.0,4.13,18.181818181818183,54.54545454545454,9.090909090909092,18.181818181818183
7,0.747,1,0,25,24,10.0,7.47,24.0,20.0,36.0,20.0
8,0.436,1,0,10,9,8.0,4.36,20.0,20.0,20.0,40.0
9,0.474,1,0,12,11,10.0,4.74,25.0,25.0,16.666666666666664,33.33333333333333
10,0.69,1,0,12,11,10.0,6.9,16.666666666666664,16.666666666666664,41.66666666666667,25.0
11,0.66,1,0,21,20,10.0,6.6,33.33333333333333,28.57142857142857,28.57142857142857,9.523809523809524
12,0.67,1,0,13,12,10.0,6.7,15.384615384615385,30.76923076923077,30.76923076923077,23.076923076923077
13,0.575,1,0,10,9,10.0,5.75,10.0,40.0,20.0,30.0
14,0.544,1,0,14,13,10.0,5.44,14.285714285714285,42.857142857142854,21.428571428571427,21.428571428571427
15,0.577,1,0,21,20,10.0,5.77,33.33333333333333,28.57142857142857,4.761904761904762,33.33333333333333
16,0.58,1,0,16,15,10.0,5.8,6.25,25.0,25.0,43.75
17,0.7,1,0,14,13,10.0,7.0,7.142857142857142,28.57142857142857,42.857142857142854,21.428571428571427
18,0.6,1,0,8,7,10.0,6.0,12.5,62.5,0.0,25.0
19,0.486,1,0,15,14,10.0,4.86,13.333333333333334,46.666666666666664,20.0,20.0
20,0.444,1,0,13,12,9.0,4.44,0.0,38.46153846153847,30.76923076923077,30.76923076923077
21,0.604,1,0,25,24,10.0,6.04,20.0,28.000000000000004,32.0,20.0
22,0.77,1,0,15,14,10.0,7.7,26.666666666666668,46.666666666666664,6.666666666666667,20.0
23,0.855,1,0,15,14,10.0,8.55,33.33333333333333,20.0,26.666666666666668,20.0
24,0.52,1,0,18,17,10.0,5.2,27.77777777777778,27.77777777777778,33.33333333333333,11.11111111111111
25,0.479,1,0,17,16,10.0,4.79,11.76470588235294,41.17647058823529,29.411764705882355,17.647058823529413
26,0.524,1,0,14,13,10.0,5.24,7.142857142857142,28.57142857142857,28.57142857142857,35.714285714285715
27,0.452,1,0,16,15,10.0,4.52,37.5,18.75,18.75,25.0
28,0.787,1,0,24,23,10.0,7.87,20.833333333333336,29.166666666666668,25.0,25.0
29,0.56,1,0,15,14,10.0,5.6,20.0,33.33333333333333,33.33333333333333,13.333333333333334
30,0.602,1,0,20,19,10.0,6.02,25.0,25.0,5.0,45.0
31,0.388,1,0,16,15,10.0,3.88,18.75,18.75,31.25,31.25
32,0.504,1,0,14,13,10.0,5.04,14.285714285714285,14.285714285714285,35.714285714285715,35.714285714285715
33,0.6,1,0,11,10,10.0,6.0,0.0,27.27272727272727,27.27272727272727,45.45454545454545
34,0.672,1,0,24,23,10.0,6.72,25.0,29.166666666666668,20.833333333333336,25.0
35,0.738,1,0,21,20,10.0,7.38,14.285714285714285,33.33333333333333,23.809523809523807,28.57142857142857
36,0.666,1,0,17,16,10.0,6.66,11.76470588235294,11.76470588235294,47.05882352941176,29.411764705882355
37,0.448,1,0,19,18,10.0,4.48,5.263157894736842,57.89473684210527,21.052631578947366,15.789473684210526
38,0.536,1,0,22,21,10.0,5.36,9.090909090909092,50.0,18.181818181818183,22.727272727272727
39,0.532,1,0,19,18,10.0,5.32,26.31578947368421,21.052631578947366,36.84210526315789,15.789473684210526
40,0.736,1,0,19,18,10.0,7.36,31.57894736842105,36.84210526315789,21.052631578947366,10.526315789473683
41,0.265,1,0,8,7,10.0,2.65,12.5,37.5,12.5,37.5
42,0.676,1,0,16,15,10.0,6.76,25.0,43.75,12.5,18.75
43,0.486,1,0,19,18,10.0,4.86,10.526315789473683,26.31578947368421,21.052631578947366,42.10526315789473
44,0.359,1,0,16,15,9.0,3.59,25.0,18.75,25.0,31.25
45,0.45,1,0,13,12,10.0,4.5,15.384615384615385,30.76923076923077,38.46153846153847,15.384615384615385
46,0.548,1,0,14,13,10.0,5.48,28.57142857142857,28.57142857142857,14.285714285714285,28.57142857142857
47,0.644,1,0,15,14,10.0,6.44,26.666666666666668,20.0,26.666666666666668,26.666666666666668
48,0.364,1,0,10,9,10.0,3.64,20.0,30.0,10.0,40.0
49,0.54,1,0,16,15,10.0,5.4,6.25,37.5,25.0,31.25
50,0.66,1,0,19,18,10.0,6.6,26.31578947368421,21.052631578947366,21.052631578947366,31.57894736842105
51,0.332,1,0,11,10,9.0,3.32,27.27272727272727,18.181818181818183,9.090909090909092,45.45454545454545
52,0.425,1,0,14,13,10.0,4.25,42.857142857142854,21.428571428571427,35.714285714285715,0.0
53,0.344,1,0,12,11,10.0,3.44,16.666666666666664,33.33333333333333,25.0,25.0
54,0.512,1,0,15,14,10.0,5.12,26.666666666666668,33.33333333333333,26.666666666666668,13.333333333333334
55,0.362,1,0,10,9,9.0,3.62,20.0,50.0,10.0,20.0
56,0.66,1,0,23,22,10.0,6.6,26.08695652173913,26.08695652173913,17.391304347826086,30.434782608695656
57,0.558,1,0,14,13,10.0,5.58,7.142857142857142,42.857142857142854,28.57142857142857,21.428571428571427
58,0.508,1,0,14,13,10.0,5.08,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857
59,0.238,1,0,9,8,10.0,2.38,22.22222222222222,44.44444444444444,0.0,33.33333333333333
60,0.529,1,0,13,12,10.0,5.29,0.0,30.76923076923077,23.076923076923077,46.15384615384615
61,0.705,1,0,10,9,10.0,7.05,20.0,50.0,10.0,20.0
62,0.446,1,0,12,11,10.0,4.46,8.333333333333332,25.0,16.666666666666664,50.0
63,0.523,1,0,17,16,10.0,5.23,23.52941176470588,17.647058823529413,29.411764705882355,29.411764705882355
64,0.63,1,0,16,15,10.0,6.3,31.25,37.5,12.5,18.75
65,0.4,1,0,9,8,10.0,4.0,22.22222222222222,55.55555555555556,11.11111111111111,11.11111111111111
66,0.648,1,0,18,17,10.0,6.48,27.77777777777778,16.666666666666664,33.33333333333333,22.22222222222222
67,0.646,1,0,14,13,10.0,6.46,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714
