episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.523,1,0,13,12,10.0,5.23,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
2,0.905,1,0,18,17,10.0,9.05,27.77777777777778,16.666666666666664,33.33333333333333,22.22222222222222
3,0.854,1,0,21,20,10.0,8.54,14.285714285714285,19.047619047619047,23.809523809523807,42.857142857142854
4,0.596,1,0,20,19,10.0,5.96,40.0,5.0,25.0,30.0
5,0.7,1,0,14,13,10.0,7.0,14.285714285714285,35.714285714285715,21.428571428571427,28.57142857142857
6,0.589,1,0,14,13,9.0,5.89,21.428571428571427,14.285714285714285,35.714285714285715,28.57142857142857
7,0.767,1,0,26,25,10.0,7.67,23.076923076923077,26.923076923076923,11.538461538461538,38.46153846153847
8,0.805,1,0,18,17,10.0,8.05,33.33333333333333,22.22222222222222,16.666666666666664,27.77777777777778
9,0.569,1,0,14,13,10.0,5.69,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857
10,0.77,1,0,14,13,10.0,7.7,42.857142857142854,14.285714285714285,21.428571428571427,21.428571428571427
11,0.824,1,0,27,26,10.0,8.24,44.44444444444444,14.814814814814813,18.51851851851852,22.22222222222222
12,0.67,1,0,13,12,10.0,6.7,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
13,0.575,1,0,10,9,10.0,5.75,40.0,0.0,40.0,20.0
14,0.544,1,0,14,13,10.0,5.44,28.57142857142857,21.428571428571427,28.57142857142857,21.428571428571427
15,0.655,1,0,23,22,10.0,6.55,30.434782608695656,4.3478260869565215,34.78260869565217,30.434782608695656
16,0.688,1,0,18,17,10.0,6.88,11.11111111111111,27.77777777777778,16.666666666666664,44.44444444444444
17,0.7,1,0,14,13,10.0,7.0,28.57142857142857,14.285714285714285,14.285714285714285,42.857142857142854
18,0.6,1,0,8,7,10.0,6.0,25.0,37.5,25.0,12.5
19,0.63,1,0,21,20,10.0,6.3,28.57142857142857,19.047619047619047,23.809523809523807,28.57142857142857
20,0.444,1,0,13,12,9.0,4.44,61.53846153846154,7.6923076923076925,15.384615384615385,15.384615384615385
21,0.604,1,0,25,24,10.0,6.04,24.0,20.0,24.0,32.0
22,0.6,1,0,12,11,10.0,6.0,50.0,8.333333333333332,16.666666666666664,25.0
23,0.855,1,0,15,14,10.0,8.55,13.333333333333334,40.0,20.0,26.666666666666668
24,0.661,1,0,21,20,10.0,6.61,9.523809523809524,19.047619047619047,33.33333333333333,38.095238095238095
25,0.619,1,0,20,19,10.0,6.19,20.0,35.0,20.0,25.0
26,0.572,1,0,16,15,10.0,5.72,25.0,25.0,25.0,25.0
27,0.606,1,0,21,20,10.0,6.06,28.57142857142857,33.33333333333333,33.33333333333333,4.761904761904762
