episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.405,1,0,10,9,10.0,4.05,60.0,20.0,10.0,10.0
2,0.66,1,0,12,11,10.0,6.6,16.666666666666664,0.0,25.0,58.333333333333336
3,0.718,1,0,16,15,10.0,7.18,37.5,25.0,18.75,18.75
4,0.646,1,0,21,20,10.0,6.46,19.047619047619047,14.285714285714285,23.809523809523807,42.857142857142854
5,0.522,1,0,11,10,10.0,5.22,27.27272727272727,18.181818181818183,27.27272727272727,27.27272727272727
6,0.589,1,0,14,13,9.0,5.89,28.57142857142857,28.57142857142857,35.714285714285715,7.142857142857142
7,0.767,1,0,26,25,10.0,7.67,23.076923076923077,30.76923076923077,26.923076923076923,19.230769230769234
8,0.769,1,0,17,16,10.0,7.69,11.76470588235294,47.05882352941176,5.88235294117647,35.294117647058826
9,0.569,1,0,14,13,10.0,5.69,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857
10,0.69,1,0,12,11,10.0,6.9,25.0,25.0,25.0,25.0
11,0.72,1,0,23,22,10.0,7.2,43.47826086956522,17.391304347826086,17.391304347826086,21.73913043478261
12,0.85,1,0,16,15,10.0,8.5,18.75,25.0,31.25,25.0
13,0.575,1,0,10,9,10.0,5.75,10.0,20.0,40.0,30.0
14,0.544,1,0,14,13,10.0,5.44,7.142857142857142,35.714285714285715,35.714285714285715,21.428571428571427
15,0.529,1,0,20,19,10.0,5.29,25.0,25.0,20.0,30.0
16,0.688,1,0,18,17,10.0,6.88,50.0,5.555555555555555,11.11111111111111,33.33333333333333
17,0.7,1,0,14,13,10.0,7.0,42.857142857142854,21.428571428571427,21.428571428571427,14.285714285714285
18,0.6,1,0,8,7,10.0,6.0,25.0,0.0,25.0,50.0
19,0.63,1,0,21,20,10.0,6.3,28.57142857142857,28.57142857142857,38.095238095238095,4.761904761904762
20,0.64,1,0,19,18,10.0,6.4,31.57894736842105,21.052631578947366,15.789473684210526,31.57894736842105
21,0.728,1,0,30,29,10.0,7.28,36.666666666666664,23.333333333333332,26.666666666666668,13.333333333333334
22,0.44,1,0,10,9,10.0,4.4,10.0,10.0,60.0,20.0
23,0.855,1,0,15,14,10.0,8.55,33.33333333333333,26.666666666666668,26.666666666666668,13.333333333333334
24,0.52,1,0,18,17,9.0,5.2,38.88888888888889,27.77777777777778,22.22222222222222,11.11111111111111
25,0.379,1,0,16,15,10.0,3.79,25.0,25.0,31.25,18.75
26,0.384,1,0,10,9,10.0,3.84,20.0,30.0,20.0,30.0
27,0.606,1,0,21,20,10.0,6.06,14.285714285714285,28.57142857142857,23.809523809523807,33.33333333333333
28,0.539,1,0,18,17,10.0,5.39,16.666666666666664,27.77777777777778,33.33333333333333,22.22222222222222
29,0.6,1,0,16,15,10.0,6.0,12.5,6.25,37.5,43.75
30,0.602,1,0,20,19,10.0,6.02,15.0,10.0,40.0,35.0
31,0.538,1,0,20,19,10.0,5.38,15.0,15.0,40.0,30.0
32,0.655,1,0,19,18,10.0,6.55,31.57894736842105,36.84210526315789,15.789473684210526,15.789473684210526
33,0.275,1,0,6,5,10.0,2.75,33.33333333333333,16.666666666666664,33.33333333333333,16.666666666666664
34,0.704,1,0,25,24,10.0,7.04,28.000000000000004,32.0,20.0,20.0
35,0.678,1,0,19,18,10.0,6.78,21.052631578947366,36.84210526315789,21.052631578947366,21.052631578947366
36,0.546,1,0,14,13,10.0,5.46,21.428571428571427,14.285714285714285,35.714285714285715,28.57142857142857
37,0.448,1,0,19,18,10.0,4.48,15.789473684210526,31.57894736842105,21.052631578947366,31.57894736842105
38,0.636,1,0,26,25,10.0,6.36,34.61538461538461,26.923076923076923,23.076923076923077,15.384615384615385
39,0.532,1,0,19,18,10.0,5.32,47.368421052631575,5.263157894736842,31.57894736842105,15.789473684210526
40,0.768,1,0,20,19,10.0,7.68,30.0,30.0,25.0,15.0
41,0.37,1,0,10,9,10.0,3.7,0.0,40.0,30.0,30.0
42,0.676,1,0,16,15,10.0,6.76,6.25,25.0,37.5,31.25
43,0.486,1,0,19,18,10.0,4.86,15.789473684210526,21.052631578947366,26.31578947368421,36.84210526315789
44,0.615,1,0,20,19,10.0,6.15,10.0,25.0,35.0,30.0
45,0.45,1,0,13,12,10.0,4.5,23.076923076923077,7.6923076923076925,30.76923076923077,38.46153846153847
46,0.666,1,0,18,17,10.0,6.66,16.666666666666664,22.22222222222222,38.88888888888889,22.22222222222222
47,0.584,1,0,14,13,10.0,5.84,21.428571428571427,35.714285714285715,35.714285714285715,7.142857142857142
48,0.364,1,0,10,9,10.0,3.64,30.0,10.0,20.0,40.0
49,0.652,1,0,19,18,10.0,6.52,47.368421052631575,10.526315789473683,31.57894736842105,10.526315789473683
50,0.556,1,0,14,13,10.0,5.56,28.57142857142857,21.428571428571427,28.57142857142857,21.428571428571427
51,0.42,1,0,13,12,10.0,4.2,7.6923076923076925,30.76923076923077,46.15384615384615,15.384615384615385
52,0.569,1,0,17,16,10.0,5.69,29.411764705882355,17.647058823529413,41.17647058823529,11.76470588235294
53,0.572,1,0,17,16,10.0,5.72,17.647058823529413,23.52941176470588,29.411764705882355,29.411764705882355
54,0.768,1,0,22,21,10.0,7.68,27.27272727272727,27.27272727272727,31.818181818181817,13.636363636363635
55,0.632,1,0,14,13,10.0,6.32,50.0,14.285714285714285,21.428571428571427,14.285714285714285
56,0.582,1,0,20,19,10.0,5.82,20.0,20.0,30.0,30.0
57,0.37,1,0,10,9,10.0,3.7,10.0,50.0,20.0,20.0
58,0.61,1,0,19,18,10.0,6.1,21.052631578947366,21.052631578947366,15.789473684210526,42.10526315789473
59,0.494,1,0,18,17,10.0,4.94,27.77777777777778,16.666666666666664,33.33333333333333,22.22222222222222
60,0.529,1,0,13,12,10.0,5.29,38.46153846153847,15.384615384615385,30.76923076923077,15.384615384615385
61,0.705,1,0,10,9,10.0,7.05,40.0,10.0,30.0,20.0
62,0.446,1,0,12,11,10.0,4.46,41.66666666666667,8.333333333333332,25.0,25.0
63,0.577,1,0,19,18,10.0,5.77,10.526315789473683,21.052631578947366,26.31578947368421,42.10526315789473
64,0.63,1,0,16,15,10.0,6.3,25.0,31.25,25.0,18.75
65,0.708,1,0,15,14,10.0,7.08,6.666666666666667,46.666666666666664,26.666666666666668,20.0
66,0.418,1,0,12,11,8.0,4.18,8.333333333333332,41.66666666666667,25.0,25.0
67,0.423,1,0,8,7,9.0,4.23,12.5,50.0,12.5,25.0
68,0.467,1,0,13,12,10.0,4.67,46.15384615384615,15.384615384615385,30.76923076923077,7.6923076923076925
69,0.54,1,0,16,15,10.0,5.4,31.25,25.0,25.0,18.75
70,0.55,1,0,18,17,10.0,5.5,33.33333333333333,33.33333333333333,11.11111111111111,22.22222222222222
71,0.636,1,0,19,18,9.0,6.36,10.526315789473683,36.84210526315789,15.789473684210526,36.84210526315789
72,0.578,1,0,16,15,10.0,5.78,25.0,25.0,25.0,25.0
73,0.422,1,0,14,13,10.0,4.22,21.428571428571427,28.57142857142857,21.428571428571427,28.57142857142857
74,0.288,1,0,14,13,8.0,2.88,42.857142857142854,7.142857142857142,21.428571428571427,28.57142857142857
75,0.301,1,0,11,10,9.0,3.01,27.27272727272727,45.45454545454545,9.090909090909092,18.181818181818183
76,0.55,1,0,14,13,10.0,5.5,21.428571428571427,21.428571428571427,50.0,7.142857142857142
77,0.544,1,0,16,15,10.0,5.44,25.0,12.5,31.25,31.25
78,0.588,1,0,18,17,10.0,5.88,27.77777777777778,33.33333333333333,22.22222222222222,16.666666666666664
79,0.87,1,0,18,17,10.0,8.7,27.77777777777778,22.22222222222222,22.22222222222222,27.77777777777778
80,0.547,1,0,15,14,8.0,5.47,20.0,33.33333333333333,33.33333333333333,13.333333333333334
81,0.539,1,0,16,15,10.0,5.39,31.25,37.5,12.5,18.75
82,0.558,1,0,16,15,10.0,5.58,43.75,12.5,31.25,12.5
83,0.499,1,0,16,15,10.0,4.99,31.25,43.75,12.5,12.5
