episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.618,10,0,26,16,10.0,6.18,26.923076923076923,38.46153846153847,23.076923076923077,11.538461538461538
2,0.77,6,0,20,14,10.0,7.7,20.0,40.0,15.0,25.0
3,0.84,5,0,27,22,10.0,8.4,33.33333333333333,11.11111111111111,37.03703703703704,18.51851851851852
4,0.812,7,0,36,29,10.0,8.12,27.77777777777778,25.0,27.77777777777778,19.444444444444446
5,0.812,4,0,24,20,10.0,8.12,29.166666666666668,29.166666666666668,16.666666666666664,25.0
6,0.649,9,0,24,15,10.0,6.49,25.0,33.33333333333333,12.5,29.166666666666668
7,0.877,7,0,36,29,10.0,8.77,11.11111111111111,25.0,27.77777777777778,36.11111111111111
8,0.793,6,0,24,18,10.0,7.93,25.0,20.833333333333336,20.833333333333336,33.33333333333333
9,0.733,8,0,29,21,10.0,7.33,34.48275862068966,10.344827586206897,24.137931034482758,31.03448275862069
10,0.75,4,0,17,13,10.0,7.5,35.294117647058826,23.52941176470588,23.52941176470588,17.647058823529413
11,0.828,6,0,35,29,10.0,8.28,25.71428571428571,20.0,22.857142857142858,31.428571428571427
12,0.78,4,0,19,15,10.0,7.8,10.526315789473683,31.57894736842105,26.31578947368421,31.57894736842105
13,0.755,4,0,16,12,10.0,7.55,25.0,12.5,31.25,31.25
14,0.74,5,0,25,20,10.0,7.4,16.0,32.0,20.0,32.0
15,0.652,8,0,31,23,10.0,6.52,35.483870967741936,22.58064516129032,22.58064516129032,19.35483870967742
16,0.728,8,0,28,20,10.0,7.28,17.857142857142858,25.0,28.57142857142857,28.57142857142857
17,0.77,4,0,19,15,10.0,7.7,26.31578947368421,31.57894736842105,21.052631578947366,21.052631578947366
18,0.75,3,0,12,9,10.0,7.5,16.666666666666664,16.666666666666664,41.66666666666667,25.0
19,0.63,11,0,31,20,10.0,6.3,19.35483870967742,38.70967741935484,25.806451612903224,16.129032258064516
