episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.637,24,0,26,15,10.0,7.17,42.30769230769231,7.6923076923076925,15.384615384615385,34.61538461538461
2,0.6,19,0,20,11,10.0,6.55,20.0,15.0,50.0,15.0
3,0.76,13,0,27,21,10.0,8.24,22.22222222222222,11.11111111111111,29.62962962962963,37.03703703703704
4,0.7,16,0,36,28,10.0,7.65,30.555555555555557,13.88888888888889,25.0,30.555555555555557
5,0.768,16,0,24,16,10.0,8.36,16.666666666666668,29.166666666666668,29.166666666666668,25.0
6,0.613,20,0,24,15,10.0,7.01,25.0,25.0,20.833333333333332,29.166666666666668
7,0.755,27,0,37,26,10.0,9.06,21.62162162162162,27.027027027027028,18.91891891891892,32.432432432432435
8,0.64,20,0,24,15,10.0,7.4,20.833333333333332,16.666666666666668,25.0,37.5
9,0.692,22,0,29,19,10.0,7.45,27.586206896551722,13.793103448275861,41.37931034482759,17.24137931034483
10,0.59,12,0,17,11,10.0,6.55,29.41176470588235,23.529411764705884,23.529411764705884,23.529411764705884
11,0.78,20,0,35,27,10.0,8.84,17.142857142857142,31.428571428571427,22.857142857142858,28.571428571428573
12,0.88,7,0,19,16,10.0,9.6,36.8421052631579,15.789473684210526,21.05263157894737,26.31578947368421
13,0.755,8,0,16,12,10.0,8.5,18.75,31.25,18.75,31.25
14,0.644,18,0,25,17,10.0,7.76,20.0,24.0,24.0,32.0
15,0.583,20,0,31,21,10.0,6.74,25.806451612903224,19.35483870967742,22.580645161290324,32.25806451612903
16,0.748,15,0,28,22,10.0,8.4,21.428571428571427,35.714285714285715,14.285714285714286,28.571428571428573
17,0.74,11,0,19,14,10.0,8.15,21.05263157894737,42.10526315789474,15.789473684210526,21.05263157894737
18,0.75,6,0,12,9,10.0,7.7,25.0,8.333333333333334,25.0,41.666666666666664
19,0.79,14,0,31,25,10.0,9.22,32.25806451612903,32.25806451612903,12.903225806451612,22.580645161290324
20,0.804,10,0,30,26,10.0,8.62,13.333333333333334,30.0,23.333333333333332,33.333333333333336
21,0.744,18,0,36,30,10.0,8.28,41.666666666666664,11.11111111111111,11.11111111111111,36.111111111111114
22,0.715,12,0,19,15,10.0,8.1,15.789473684210526,26.31578947368421,26.31578947368421,31.57894736842105
23,0.765,10,0,17,13,10.0,8.1,29.41176470588235,23.529411764705884,23.529411764705884,23.529411764705884
24,0.585,23,0,30,19,10.0,6.91,26.666666666666668,16.666666666666668,26.666666666666668,30.0
25,0.547,18,0,30,22,10.0,6.46,23.333333333333332,30.0,30.0,16.666666666666668
26,0.63,18,0,26,17,10.0,7.0,34.61538461538461,23.076923076923077,23.076923076923077,19.23076923076923
27,0.702,16,0,31,24,10.0,7.86,25.806451612903224,16.129032258064516,25.806451612903224,32.25806451612903
28,0.68,12,0,28,22,10.0,7.87,39.285714285714285,28.571428571428573,17.857142857142858,14.285714285714286
29,0.694,17,0,27,19,10.0,7.79,33.333333333333336,22.22222222222222,14.814814814814815,29.62962962962963
30,0.69,20,0,31,24,10.0,7.92,41.935483870967744,16.129032258064516,19.35483870967742,22.580645161290324
31,0.638,28,0,37,25,10.0,7.06,37.83783783783784,29.72972972972973,18.91891891891892,13.513513513513514
32,0.66,13,0,27,21,10.0,7.0,25.925925925925927,25.925925925925927,22.22222222222222,25.925925925925927
33,0.63,15,0,18,11,10.0,6.83,38.888888888888886,16.666666666666668,16.666666666666668,27.77777777777778
