epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner
1,0.41246469999999924,0.009612022738234737,0.04373552408758671,0.6219671428571429,0.6059423809523801,0.5190723809523814,0.5823273015873015,85341,0,0.8607070081195575,0.0001,0.25316638773528377,0.24712287443955452,0.24700923572801092,0.25270150209715075,0.26578881850120334,0.2234639962377936,0.2505186865473457,0.2602284987136574,0.2691287774156124,0.2214242307054859,0.2579415501905972,0.2515054416883045,0.2769070010449321,0.2274120515499826,0.2560083594566353,0.23967258794845
2,0.40762610000000155,0.11727787405962417,0.03708312492333545,0.574658095238095,0.579286190476191,0.5068185714285726,0.5535876190476196,72679,0,0.7408165538261186,0.0001,0.25215097657476604,0.24372500994368732,0.247221001067638,0.2569030124139086,0.2540002370510845,0.17082493777409033,0.25524475524475526,0.31993006993006995,0.2560283483621907,0.1785313013165855,0.24260320935726426,0.32283714096395955,0.2515040404399986,0.17763696557616318,0.2497597095155032,0.3210992844683351
3,0.40452330000000064,0.9469774061424588,0.03316813076267568,0.5697157142857153,0.5702485714285713,0.5041661904761904,0.5480434920634923,64128,0,0.6376259996091206,0.0001,0.24019214527027027,0.23433277027027027,0.2381862331081081,0.28728885135135135,0.22159124872975072,0.2060792635543069,0.23847809193615876,0.3338513957797836,0.2225110247948366,0.20700330013726234,0.23579918810782396,0.3346864869600771,0.2167131716391214,0.21538956857694785,0.2323102239393289,0.33558703584460187
4,0.4029291000000022,7.254853927072386,0.03341560420797772,0.5630600000000002,0.5672585714285704,0.49109142857142885,0.5404699999999999,59139,0,0.5488091664228038,0.0001,0.2362404561913965,0.23150439094838113,0.2430366036253199,0.2892185492349025,0.24937452901281085,0.24397889977392614,0.24666164280331576,0.25998492840994725,0.25059413783997886,0.24419798726637915,0.2441099668456415,0.2610979080480005,0.2490684591217944,0.25663037919193393,0.24475779937166656,0.2495433623146051
5,0.40166269999999993,62.72482764483343,0.037962445194441544,0.5634257142857135,0.5630138095238097,0.49147952380952414,0.5393063492063491,59776,0,0.47236389566035925,0.0001,0.24132023876658545,0.23579796346147708,0.24061798410350807,0.2822638136684294,0.29182832566392974,0.15239556076874491,0.2200667689253812,0.33570934464194413,0.28799196905725,0.15456612241282588,0.22454161622722843,0.3329002923026957,0.30034379343135104,0.15086679833223612,0.21915002560163852,0.3296393826347743
6,0.4069750000000007,1078.4011070612517,0.050386200396315375,0.5766195238095242,0.5858147619047618,0.5116042857142856,0.5580128571428572,76223,0,0.4065669153775232,5e-05,0.21086641309601362,0.20915376048080359,0.21231638892974972,0.36766343749343305,0.11162969308480784,0.1265175907600508,0.12412489291938676,0.6377278232357546,0.11876849533348509,0.12932506259959026,0.12474391076712953,0.6271625312997952,0.11580616740088105,0.13018502202643173,0.1305374449339207,0.6234713656387665
7,0.4158138000000002,20237.69575259351,0.05450067867004341,0.5679871428571429,0.5823695238095238,0.5040509523809522,0.5514692063492063,90556,0,0.34993499333498235,5e-05,0.1537786586561787,0.19136395073962817,0.17722172328719044,0.4776356673170027,0.06438192158036515,0.17105656988925472,0.11682131098473511,0.647740197545645,0.06062426687265757,0.17821074013675506,0.12310817383343346,0.6380568191571538,0.06355433503334641,0.17450693676664647,0.09426156424979493,0.6676771639502121
8,0.4172025000000004,204135.12804441323,0.056111464789810446,0.5835623809523809,0.5912390476190472,0.5085919047619042,0.5611311111111107,91636,0,0.301191501149688,5e-05,0.15029830906674085,0.21724525230043176,0.1665275588117098,0.4659288798211176,0.21909750673065667,0.17938663233056304,0.08664988879784619,0.5148659721409341,0.21893357433348395,0.17210799819249886,0.096475372797108,0.5124830546769091,0.19193993908917062,0.1999433387633685,0.07659890927119484,0.531517812876266
9,0.4156773999999997,915396.9901253156,0.05678370620586584,0.5875209523809524,0.5908504761904767,0.5086861904761911,0.5623525396825401,91959,0,0.2592376358255857,5e-05,0.181036792744512,0.19844378027414203,0.21653096980315367,0.4039884571781923,0.26712049805085236,0.10801768778728109,0.10932681678012451,0.515534997381742,0.2791597255555242,0.09921788971397916,0.109184854730779,0.5124375299997177,0.2692375792343922,0.10517369595240625,0.10184496618152201,0.5237437586316795
10,0.4187405999999992,2444318.0350899813,0.05725565380021531,0.5911471428571431,0.5979414285714275,0.5137757142857133,0.5676214285714279,92766,0,0.22312764992342718,5e-05,0.17842298100310972,0.22065539784681384,0.18848076192822028,0.4124408592218562,0.25380181328389767,0.1905975726327376,0.08391507111201228,0.47168554297135246,0.25743237584791895,0.19054797197331325,0.08019987159087737,0.4718197805878905,0.22946444249341527,0.18145741878841087,0.10672519754170325,0.4823529411764706
11,0.4170274000000001,4144228.1453709137,0.05691955647260909,0.5855476190476187,0.5934666666666665,0.5087466666666662,0.5625869841269838,92740,0,0.1920475319943405,2.5e-05,0.17297975900143034,0.2074110661768489,0.21891560933946635,0.4006935654822544,0.2001753104455807,0.10559532505478451,0.19719503287070855,0.49703433162892624,0.2078907435508346,0.1079076041139774,0.19288484235373463,0.4913168099814534,0.17893878130098603,0.11750727105057814,0.2111087465418174,0.49244520110661844
12,0.41491750000000077,5467900.591122691,0.057078270254244695,0.5969657142857137,0.5978776190476185,0.520183333333334,0.5716755555555554,92329,0,0.16529665667959242,2.5e-05,0.18842227090480718,0.2000372008432191,0.22368040342247758,0.3878601248294961,0.281262588479024,0.20691143465500375,0.09662197157161766,0.4152040052943546,0.2884142936906756,0.2013679508654383,0.0929927414852038,0.4172250139586823,0.271630615640599,0.2036189683860233,0.11113422074320577,0.41361619523017196
13,0.4157278000000003,6465935.945620617,0.057233737459580686,0.5891038095238106,0.5917780952380949,0.5141919047619044,0.5650246031746032,92569,0,0.1422719908228571,2.5e-05,0.18339521452145213,0.18187912541254125,0.2628712871287129,0.37185437293729373,0.1806556614740758,0.1830097651708905,0.21128807254126947,0.4250465008137642,0.18280145339830436,0.1776469594118807,0.2071374250063375,0.43241416218347745,0.1741571062695155,0.18629617934954215,0.21457390450128055,0.4249728098796618
14,0.41472490000000134,7043242.815396975,0.057406282061847405,0.5996347619047612,0.5985285714285714,0.5210261904761911,0.5730631746031746,92499,0,0.12245449956035587,2.5e-05,0.17885557231716642,0.19538757206918642,0.2729019859064702,0.35285486970717694,0.35865643433938493,0.12178569383196838,0.14440753679628887,0.37515033503235784,0.3580129902712346,0.11922615894962785,0.14191731943244223,0.3808435313466953,0.2963489970153398,0.1515929756368432,0.1833830776705768,0.36867494967724024
15,0.4139617000000001,7271952.115419944,0.05771270722153801,0.6085623809523804,0.604409047619047,0.520487619047619,0.5778196825396821,93370,0,0.10539744594737058,2.5e-05,0.23201643032592317,0.19062067826697215,0.27749912275269883,0.29986376865440584,0.40466089710956504,0.1251201991062843,0.1376491883025058,0.3325697154816449,0.39654314159292037,0.12452986725663717,0.1369192477876106,0.34200774336283185,0.36992815244177574,0.1438686612752074,0.169240914928326,0.3169622713546909
16,0.41312169999999926,7568451.528015596,0.057465221962452864,0.6258661904761893,0.6124304761904757,0.5209757142857143,0.5864241269841265,94048,0,0.09071632036480425,1.25e-05,0.2545850267159037,0.19726445650155758,0.3239432261258845,0.2242072906566542,0.4161550532720315,0.09858767172315062,0.21584120254384273,0.26941607246097515,0.4117228935425666,0.10651211110503582,0.19752310131773196,0.28424189403466565,0.39094378903539206,0.11988202637057599,0.2693962526023595,0.21977793199167245
17,0.4119654999999999,7625447.221886169,0.05799835293128404,0.6330919047619054,0.6149142857142851,0.5189138095238099,0.5889733333333335,94393,0,0.07808017268880577,1.25e-05,0.3461471112347167,0.21034578659497544,0.29367654481217104,0.14983055735813686,0.3354763137105342,0.10417063935274729,0.3176605192187202,0.24269252771799832,0.33787317498365654,0.1181629984746132,0.2946992808890826,0.24926454565264763,0.32951698218262804,0.1493944877505568,0.3393652561247216,0.18172327394209353
18,0.4110931999999993,6939567.036442908,0.05792784886266968,0.638909999999999,0.6170557142857138,0.5211361904761903,0.5923673015873011,94018,0,0.06720415182843974,1.25e-05,0.34889840565502295,0.2162220731644394,0.31424591094370774,0.12063361023682989,0.457100351636462,0.1149851230727617,0.23838247227481743,0.18953205301595888,0.46503297240087926,0.1240467855301365,0.2232353659529431,0.18768487611604115,0.4260363233051435,0.1647719395535838,0.26940939969499517,0.13978233744627755
