epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner
1,0.5265537999999956,0.00566990802588749,0.062286299468198476,0.6368228571428572,0.6322804761904754,0.560350476190477,0.6098179365079366,112503,0,0.8607070081195575,0.0001,0.24640486725663716,0.24863401716277822,0.2510559131134352,0.25390520246714937,0.2174089287644579,0.21654415738839045,0.18849313587720246,0.3775537779699492,0.2244973544973545,0.22291005291005292,0.18944444444444444,0.36314814814814816,0.22937325815023657,0.2347851448570873,0.1818329120487394,0.3540086849439367
2,0.5210337000000007,0.020612804066262088,0.052899536141668625,0.6210957142857131,0.6255819047619043,0.5552861904761914,0.600654603174603,101747,0,0.7408165538261186,0.0001,0.24174231444046076,0.24788737169544248,0.24639560607216415,0.2639747077919326,0.2048096303045363,0.18457163367293408,0.20000552196361027,0.4106132140589194,0.20666327976683868,0.17540575951228643,0.1952191235059761,0.4227118372148988,0.2072943560247067,0.18784927612013463,0.1947449263047812,0.4101114415503775
3,0.519930099999997,0.09985340809848631,0.04892825353041379,0.6252195238095238,0.6220747619047625,0.5560476190476187,0.6011139682539683,94691,0,0.6376259996091206,0.0001,0.23820341348035462,0.24467813568839655,0.25315227934044615,0.26396617149080265,0.20488500233010773,0.25601030730009045,0.23482003344389923,0.30428465692590256,0.202361782071927,0.2487385936661299,0.24192163177670423,0.3069779924852389,0.20164689736300362,0.2539947064013332,0.23285298826912393,0.31150540796653925
4,0.5189522999999999,0.3002516917647619,0.0465417360924578,0.6063290476190474,0.6101119047619039,0.5500252380952391,0.5888220634920635,89770,0,0.5488091664228038,0.0001,0.23081588546338297,0.24262149440899344,0.237846287896261,0.2887163322313626,0.22357140849425192,0.22556707985496247,0.23338111701380104,0.3174803946369846,0.2233261456997025,0.2237355678685482,0.24428856074460245,0.3086497256871469,0.21887946340501085,0.2256855395541527,0.2246333925166042,0.33080160452423224
5,0.5167373000000023,0.7780369363649088,0.04494713090634981,0.6072880952380955,0.611883333333333,0.5509971428571431,0.5900561904761905,86587,0,0.47236389566035925,0.0001,0.23101879666981376,0.24010814522358595,0.23761908849025834,0.2912539696163419,0.22470363503567617,0.23891791673689533,0.2422327097027923,0.2941457385246362,0.22793436188191682,0.23534863435643025,0.24404404950117212,0.29267295426048084,0.2120404199993417,0.23847141305421152,0.2378460221849182,0.3116421447615286
6,0.5121274999999997,2.041318949177984,0.05217763963993273,0.6024757142857129,0.6012309523809528,0.5420066666666674,0.5819044444444444,81659,0,0.4065669153775232,5e-05,0.24064106440882976,0.25162210030670873,0.24115944533241176,0.26657738995204977,0.25444457026384326,0.2379685199864115,0.2556901823123089,0.2518967274374363,0.25279201884439517,0.23998891506165998,0.2563946238049051,0.2508244422890398,0.24541598477004775,0.23566347149393807,0.2504926355165158,0.26842790821949836
7,0.514128399999999,6.727765807510398,0.05467081222689805,0.6075333333333344,0.6032733333333333,0.5428614285714284,0.584556031746032,83528,0,0.34993499333498235,5e-05,0.2487632935174173,0.24285985142285882,0.24398021269627868,0.2643966423634452,0.281194733739438,0.22856019987086995,0.2678045083232743,0.22244055806641777,0.2814157824933687,0.23286914235190098,0.2548629531388152,0.23085212201591512,0.28980149213962164,0.2309818811617373,0.25039968025579534,0.22881694644284573
8,0.5154535000000023,123.71057192151883,0.06570271031548437,0.6323590476190473,0.6287942857142849,0.5578699999999994,0.6063411111111106,92976,0,0.301191501149688,5e-05,0.2626010400041188,0.2377765192469409,0.2457567488716127,0.25386569187732755,0.26636403174948353,0.2043329346526041,0.2222735674676525,0.3070294661302599,0.2563339093446763,0.21270769639771367,0.2098896716735345,0.3210687225840755,0.26220244860845,0.20264345792875005,0.21553599844120416,0.3196180950215958
9,0.5237666999999997,8143.478711377443,0.0785022995052987,0.6234485714285704,0.6235814285714291,0.5550309523809526,0.600686984126984,113640,0,0.2592376358255857,5e-05,0.2063265237096665,0.20553169180815803,0.25796523033213825,0.3301765541500372,0.20347203086249654,0.11702948470653073,0.23827500688895012,0.44122347754202257,0.20130375298441397,0.11631837325965072,0.23322692276739007,0.44915095098854524,0.1733145883737658,0.13934479827372,0.24403321781207088,0.44330739554044335
10,0.5226748999999985,126286.39666742254,0.08689477258914355,0.620519047619048,0.6195571428571434,0.5521647619047616,0.597413650793651,125678,0,0.22312764992342718,5e-05,0.16516101694915256,0.15983898305084746,0.29641525423728815,0.37858474576271184,0.21038824763903463,0.08993759319600154,0.2572761915281383,0.44239796763682554,0.20144001294393657,0.09012215840142383,0.25472588517649597,0.45371194347814364,0.20435653973781912,0.08811643723100174,0.24282945099714165,0.4646975720340375
11,0.5210555999999992,410963.97732714686,0.08727207737400651,0.6175523809523807,0.6192833333333346,0.5435400000000006,0.593458571428572,125486,0,0.1920475319943405,2.5e-05,0.14061689443740485,0.14251333032851712,0.3245456632848311,0.39232411194924693,0.09626898769264886,0.191706397605056,0.2118860184055882,0.500138596296707,0.10081537880015119,0.18926507910794318,0.2053566607268211,0.5045628813650845,0.08507666212126251,0.1762397312668374,0.21049655768783052,0.5281870489240695
12,0.5218103999999999,706057.9563782302,0.08703623722986097,0.6204195238095234,0.6193938095238113,0.5498161904761902,0.596543174603175,125757,0,0.16529665667959242,2.5e-05,0.12114911312908427,0.13237715352626667,0.36433845370448953,0.38213527964015953,0.11036789297658862,0.16363083556759447,0.2530197075651621,0.4729815638906548,0.11148867313915857,0.16596548004314995,0.24433656957928804,0.47820927723840345,0.0973031709967401,0.15940597319635155,0.2560176495768712,0.4872732062300372
13,0.5243312000000007,964342.1123895654,0.0874176550329058,0.6279447619047628,0.6282599999999999,0.5499290476190474,0.6020446031746034,126326,0,0.1422719908228571,2.5e-05,0.10648206844672094,0.14148304046115745,0.3784432554876554,0.3735916356044662,0.13301558605199004,0.16479031418632042,0.25849837017558275,0.44369572958610676,0.12731728105689324,0.17606008949499255,0.24800234391647133,0.44862028553164285,0.12305311337218874,0.16846125983733412,0.26583028746419046,0.4426553393262867
