epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,train_h_complex_fit,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut1_h_complex_fit,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_cut2_h_complex_fit,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner,val_rs_h_complex_fit
1,0.3855174000000004,1.5172877571851902,0.055252006355104175,0.5992457142857142,0.5976761904761875,0.5080038095238102,0.5683085714285706,92132,0,0.8601004189772008,0.0001,0.19515328772131404,0.19336710711860866,0.1918420640309187,0.20315454118138612,0.2164829999477725,0.21443463856281952,0.10007711421472025,0.13506411904149887,0.20126810041984405,0.3491560277611173,0.21565884097713853,0.098441391275149,0.14256932590872207,0.20908302319724656,0.33424741864174384,0.21724015608371763,0.09255054984036892,0.11802057467186945,0.20322809506917347,0.36896062433487054
2,0.3839117000000015,10.968005374439624,0.05022642484451292,0.5870171428571438,0.5880680952380948,0.5009957142857154,0.5586936507936513,86382,0,0.7395841113137681,0.0001,0.17968232610455276,0.18011331980783987,0.17442630533275869,0.21831407877723932,0.24746396997760936,0.12338172402757978,0.07310970820120444,0.13382596805632327,0.19108020830302855,0.47860239141186395,0.12635757833546007,0.07137388345384943,0.12902311073302142,0.1997447894512973,0.47350063802637177,0.13670123066987191,0.06648487675361486,0.10724408883786014,0.18524631337232247,0.5043234903663306
3,0.3800329000000028,74.20277887368896,0.04897825293004583,0.5784823809523805,0.5756961904761904,0.5057352380952385,0.5533046031746031,79861,0,0.6360498147720092,0.0001,0.1733211956981963,0.16269370818866966,0.168928359725633,0.2205415361165213,0.27451520027097975,0.22607518177268848,0.1003208619116305,0.10261693797650938,0.2940449206676283,0.2769420976715434,0.21771676300578036,0.10199421965317919,0.10852601156069364,0.2851445086705202,0.28661849710982656,0.2112666025709504,0.09941957768044725,0.08934230673361108,0.2764661895096678,0.3235053235053235
4,0.38223549999999956,213.28832986909168,0.04782060373029928,0.5785671428571424,0.5826400000000015,0.504599523809524,0.5552688888888894,80132,0,0.546910819209403,0.0001,0.167397768732733,0.15459645274901407,0.16028006832992386,0.2652740578273615,0.25245165236096756,0.1673980268001767,0.13288175526432042,0.16274480930643498,0.265351200117803,0.2716242085112649,0.17289385666504675,0.1348160429947686,0.1670049455418656,0.2462193762328121,0.279065778565507,0.18226811465194945,0.11404664411607619,0.14748086166993057,0.2316183015844757,0.3245860779775681
5,0.3851635999999991,627.4885508594049,0.04721717884750199,0.5845728571428574,0.5918080952380953,0.5100071428571425,0.5621293650793651,82222,0,0.47033472479492366,0.0001,0.16935399434614176,0.15297874568108052,0.16117684012145325,0.3304994241440687,0.18599099570725577,0.1614373356704645,0.1618755477651183,0.15360794624598306,0.4250073035349109,0.09807186678352323,0.1635392528118465,0.16382185044933023,0.1608263154920025,0.4092013790764709,0.10261120217034986,0.14623891460269228,0.14493163268911421,0.1643288697311239,0.4480090449775642,0.09649153799950536
6,0.387872000000001,815.2199359424883,0.048335520338972544,0.5905433333333338,0.5951319047619043,0.5134299999999999,0.5663684126984126,86092,0,0.40453509385563613,5e-05,0.16788897430037605,0.14345667213761867,0.1492115596368396,0.3945941453888185,0.1448486485363472,0.14581160931525894,0.13996060711389177,0.12345035337736068,0.498696558915537,0.09208087127795157,0.1467247680629744,0.14323868428450942,0.1211414113016587,0.48771436603879675,0.10118077031206073,0.1551615168539326,0.12145365168539325,0.12489466292134832,0.5034058988764045,0.09508426966292134
7,0.3884563000000011,391.1443462594954,0.04788392796212436,0.5819480952380949,0.5867728571428563,0.5105890476190481,0.5597699999999998,87753,0,0.34790949021815337,5e-05,0.1614647103990703,0.149210367941561,0.148535912175483,0.38917135326955404,0.15161765621433165,0.14284035489746755,0.09274928021622893,0.11869087490451848,0.5381338504024913,0.10758563957929373,0.14998718788258406,0.08823278193776159,0.12197135779973237,0.5320730005978989,0.10773567178202317,0.16291896478574458,0.08244944138028568,0.10999151463725074,0.5346132088813463,0.11002687031537264
8,0.39126010000000033,252.83468629190224,0.04747995006082866,0.5896138095238103,0.594128571428571,0.5150200000000004,0.5662541269841271,88186,0,0.29915631458664776,5e-05,0.15326113912540298,0.14028271472265852,0.17324543275192197,0.37998057369595767,0.15323013970405885,0.13538461538461538,0.12943396226415094,0.18020319303338173,0.41094339622641507,0.14403483309143686,0.13394815273013552,0.13411685317438002,0.18079064274869258,0.41328797165832537,0.1378563796884665,0.13208738034292927,0.1331743749780848,0.17795154107787792,0.40288930186892946,0.15389740173217856
9,0.3837762000000007,381.50680990215113,0.04742098768600085,0.5879552380952375,0.5922890476190473,0.5124904761904765,0.5642449206349204,84618,0,0.2572928929881124,5e-05,0.17687931649768038,0.1270441043726515,0.16518672460482398,0.35492369376744964,0.17596616075739446,0.2119290078556881,0.05426243817282514,0.10849578120453884,0.5529531568228105,0.07235961594413733,0.2114419443974511,0.05515141262053798,0.11213556645801613,0.5426041842891783,0.07866689223481645,0.23038268264398917,0.04898618968970728,0.09797237937941455,0.5577538039849598,0.06490494430192922
10,0.3898383000000009,960.4685906993564,0.047817638357177034,0.5845990476190475,0.5935614285714284,0.5123638095238096,0.5635080952380952,86530,0,0.22122470831046132,5e-05,0.1915843228431454,0.10708502864734701,0.15624221539483518,0.4310906750809599,0.11399775803371252,0.19032305218535303,0.08946060517468206,0.06864493495103055,0.550241192808069,0.10133021488086537,0.18207141048366676,0.09104977350102698,0.0678371458315748,0.5468613713739062,0.11218029880982527,0.2038783698176955,0.06605898500739073,0.08439501654114169,0.5333638347293588,0.11230379390441332
