epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner
1,0.4929810000000001,2.114100834514985,0.04129808851108263,0.5846295238095238,0.5849442857142864,0.5270909523809518,0.5655549206349207,52248,0,0.8607070081195575,0.001,0.24696461325101776,0.24654408804187358,0.2492998702634993,0.25719142844360937,0.22756438173213717,0.20265365966959906,0.22750631478094244,0.3422756438173214,0.2225119759630375,0.20369058079877547,0.23484225743360074,0.3389551858045863,0.2150600143624115,0.21622268577095374,0.23321820606640906,0.3354990938002257
2,0.5013136000000021,120.76822118794776,0.04741202961606116,0.6101371428571416,0.6071961904761913,0.5400047619047617,0.5857793650793649,58762,0,0.7408165538261186,0.001,0.2420694697710475,0.24062475223975263,0.24629791132605688,0.27100786666314297,0.22303791084087535,0.21538849505449859,0.19683936226848608,0.36473423183614,0.21806203678287125,0.209552566566017,0.20573702992039528,0.36664836673071644,0.2095976473733458,0.21110145702446198,0.20408367865258656,0.3752172169496057
3,0.5089855999999993,256.44224414739494,0.05159413125595171,0.6188357142857142,0.6209609523809522,0.5495523809523809,0.5964496825396824,68420,0,0.6376259996091206,0.001,0.2406152512998267,0.241369150779896,0.24151646447140382,0.2764991334488735,0.23389193075604225,0.2326751838946961,0.23980974503622587,0.29362314031303577,0.23753492370513646,0.23022781001504405,0.23570814528261336,0.29652912099720613,0.23653542270213326,0.23436265472741638,0.2292928627864103,0.29980905978404004
4,0.5096172000000015,316.16275177085174,0.05240655417426821,0.6229276190476188,0.6242333333333341,0.5501271428571427,0.5990960317460319,71014,0,0.5488091664228038,0.001,0.2502770274949789,0.2481906641734192,0.2468401551353972,0.2546921531962047,0.2659486784988186,0.28666410242321005,0.21201714379910985,0.23537007527886147,0.26272388958796283,0.2858558003801772,0.21504109662391904,0.23637921340794088,0.2581770319183942,0.2842711418229681,0.22333004277722934,0.23422178348140835
5,0.5118561999999981,293.84314011631653,0.05289344089638967,0.6236438095238096,0.6243947619047617,0.5512076190476195,0.5997487301587303,73202,0,0.47236389566035925,0.001,0.24267374792002552,0.24293239759628235,0.25614939605300596,0.2582444584306862,0.2097323734681541,0.21467824366653845,0.2870528109028961,0.2885365719624114,0.20316093490934375,0.21736107396908594,0.2934427983098893,0.286035192811681,0.2072163931191001,0.21415649771404138,0.29819425714567643,0.2804328520211821
6,0.5142757000000003,339.85691331448345,0.0543694613972786,0.6276428571428571,0.628191904761905,0.5578342857142852,0.6045563492063492,76022,0,0.4065669153775232,0.0005,0.23438183924816547,0.23457923872462774,0.26641204995065015,0.26462687207655666,0.23170198820187896,0.21542495084116234,0.2603779768407254,0.2924950841162333,0.23708489537635266,0.21557523065060755,0.2595783148546968,0.28776155911834306,0.23483912902177445,0.21338966525836853,0.26789080272993177,0.28388040298992523
7,0.5160139000000009,403.46048270453053,0.055356418397971445,0.6230123809523789,0.627653809523809,0.5553499999999995,0.6020053968253958,77845,0,0.34993499333498235,0.0005,0.22802496511219747,0.22500278246277922,0.26896569437428836,0.278006558050735,0.19284201259937828,0.1956479876757173,0.2882176556353333,0.32329234408957114,0.20408163265306123,0.19351834606071894,0.2858207168134529,0.31657930447276694,0.19738344589083553,0.19359890378780464,0.29858732178395486,0.310430328537405
8,0.5138476999999985,397.4933303175968,0.055512406706896444,0.6305152380952374,0.6291400000000001,0.5571038095238099,0.6055863492063491,78223,0,0.301191501149688,0.0005,0.22125483455092393,0.2261968199398367,0.27278899871078643,0.27975934679845293,0.20286539194857547,0.28444190227161303,0.22163207495778178,0.29106063082202976,0.20020211690867507,0.28604861443540236,0.2182862613690761,0.29546300728684644,0.1983702737940026,0.2930899608865711,0.22151238591916558,0.28702737940026074
9,0.5174210000000004,354.52512056338253,0.055353640726622536,0.6258400000000001,0.6329342857142864,0.5543790476190484,0.604384444444445,79523,0,0.2592376358255857,0.0005,0.21076259975248582,0.2710536422993215,0.2641488499125165,0.2540349080356762,0.15828106598011557,0.3022376817945277,0.2976089397715757,0.24187231245378105,0.16043811031934546,0.3017946687780417,0.29535497492742147,0.24241224597519134,0.1561907253581006,0.313951206749951,0.2951795408463601,0.23467852704558834
10,0.5147012999999996,326.0207501991719,0.05516064907417395,0.6245528571428571,0.6301180952380955,0.5525461904761899,0.6024057142857142,78668,0,0.22312764992342718,0.0005,0.18848468717534836,0.23511432030290802,0.27125207133106094,0.30514892119068265,0.1321225755123316,0.1727798962991413,0.25977339441990616,0.4353241337686209,0.1345749634162565,0.17863509378741518,0.26215245443661034,0.424637488359718,0.12960838931672947,0.17673275438309027,0.2599377355398984,0.43372112076028185
11,0.5157752000000025,355.72991323209084,0.056002391930966344,0.625029047619048,0.6292428571428565,0.5582290476190483,0.6041669841269843,79630,0,0.1920475319943405,0.00025,0.1836251896423153,0.19936228753632132,0.2495307156265268,0.3674818071948366,0.13546581806210908,0.15719302095906945,0.22467902995720399,0.4826621310216175,0.1390009555154475,0.1585624800934282,0.226483703153201,0.47595286123792335,0.136332607352989,0.16425576179176282,0.2172414914020089,0.4821701394532393
