lr,buffer_size,cut1,cut2,rs
0.0001,0,0.715155714285714,0.7046519047619029,0.7514071428571414
0.0001,1,0.7455300000000006,0.7329895238095248,0.7637800000000007
0.0001,2,0.7283114285714272,0.7153747619047609,0.7535866666666675
0.0001,3,0.7160842857142855,0.7069190476190474,0.7487938095238089
0.0001,4,0.7225419047619037,0.713429523809523,0.7507452380952387
0.001,0,0.704755714285714,0.6946504761904748,0.7442990476190476
0.001,1,0.6966833333333317,0.6881628571428576,0.7422933333333328
0.001,2,0.6962890476190473,0.6853847619047605,0.740539999999999
0.001,3,0.7070042857142865,0.6984533333333333,0.7439609523809507
0.001,4,0.6961466666666674,0.6894028571428557,0.7337485714285713
0.005,0,0.7201738095238105,0.7125457142857134,0.7477752380952374
0.005,1,0.719752857142856,0.7119071428571431,0.7471347619047635
0.005,2,0.7177290476190465,0.7045338095238093,0.7432223809523819
0.005,3,0.7061609523809532,0.6983066666666662,0.7374999999999988
0.005,4,0.6995057142857155,0.6903685714285716,0.7331704761904766
