Table 4. Results of the complex fit and random fit heuristics when considering buffering and rearrangement with a single valid orientation for the boxes.

B	R	CUT-1_S	CUT-1_BF	CUT-1_SPF	CUT-1_RF	CUT-1_CF	CUT-2_S	CUT-2_BF	CUT-2_SPF	CUT-2_RF	CUT-2_CF	RS_S	RS_BF	RS_SPF	RS_RF	RS_CF
0	0	51.48	55.77	54.32	57.25	55.77	52.27	56.30	55.72	57.73	56.30	49.40	45.84	44.39	45.05	45.84
0	1	53.23	58.75	56.98	58.85	58.22	53.12	58.58	57.47	58.95	58.16	51.78	48.79	47.15	48.08	48.06
0	2	53.63	60.27	59.09	60.86	59.65	53.88	60.05	59.66	61.69	59.76	52.90	51.10	49.42	51.13	49.84
0	3	54.87	61.70	61.10	62.82	61.14	54.82	61.42	60.99	62.95	60.98	54.22	52.67	50.61	52.95	51.37
0	4	55.33	62.36	62.06	64.28	61.77	55.59	62.67	62.12	64.80	61.72	55.22	53.75	51.90	54.58	52.30
0	5	55.63	63.32	62.72	65.59	62.14	55.79	63.32	63.05	65.40	62.49	55.52	54.64	52.61	55.47	52.67
1	0	58.43	62.84	62.09	63.47	62.37	58.92	62.95	62.49	63.56	62.92	58.80	55.17	54.33	55.02	54.84
1	1	58.94	65.01	64.25	65.22	64.28	59.29	64.77	64.13	65.23	64.55	60.27	57.25	55.53	56.40	56.26
1	2	58.95	66.27	65.68	67.24	65.99	59.17	66.43	65.68	66.72	65.75	59.65	58.73	57.24	58.90	56.98
1	3	59.21	67.84	66.68	68.22	66.33	59.37	66.90	66.62	68.26	66.52	59.87	60.21	58.45	59.70	58.27
1	4	59.18	68.20	67.44	69.47	66.96	59.17	67.96	67.33	69.50	67.23	59.71	60.80	59.24	61.28	59.11
1	5	59.36	68.55	67.96	70.20	67.56	59.34	68.57	68.07	70.50	68.01	59.78	61.58	59.48	62.34	59.03
2	0	63.61	67.89	67.52	67.98	68.13	64.02	67.81	67.34	67.96	68.01	64.83	62.08	61.07	62.00	61.75
2	1	63.97	69.56	69.15	69.92	69.49	63.89	69.63	69.32	70.03	69.65	65.32	64.03	62.77	63.59	62.94
2	2	62.96	70.91	70.35	70.89	70.14	63.22	70.71	69.91	70.72	70.17	64.47	64.68	63.55	64.58	63.82
2	3	62.62	71.52	70.86	72.03	70.54	62.59	71.37	70.60	71.75	71.19	63.91	65.37	63.80	65.61	64.36
2	4	62.23	72.09	71.41	72.79	71.43	61.96	71.66	71.54	72.62	71.26	62.54	66.03	64.39	66.50	64.04
2	5	61.98	72.28	71.78	73.05	71.43	61.74	72.30	71.36	73.01	71.53	62.46	66.49	64.56	66.24	64.61
3	0	65.96	70.33	70.31	70.16	70.49	66.15	70.32	70.33	70.46	70.26	68.22	65.78	65.13	65.85	66.09
3	1	66.77	72.30	72.06	72.39	72.16	67.15	71.95	72.33	72.19	72.02	69.19	67.96	67.47	67.98	67.43
3	2	66.47	73.42	73.16	73.29	72.88	66.60	73.10	72.79	73.17	72.97	68.18	69.14	68.67	69.36	68.94
3	3	65.30	73.86	73.68	73.96	73.65	65.28	73.78	73.35	74.16	73.45	66.98	69.80	69.05	69.95	69.29
3	4	63.89	74.15	73.71	74.87	73.42	64.24	74.14	73.39	74.80	73.67	65.54	70.24	68.88	70.26	69.82
3	5	62.91	74.15	73.48	74.90	73.40	63.35	74.30	73.74	75.10	73.59	64.44	70.26	68.38	70.29	69.45
4	0	67.87	71.96	71.73	71.74	72.18	68.06	71.85	71.73	71.71	72.00	70.77	68.50	68.24	68.69	68.79
4	1	68.72	73.77	73.67	73.69	73.69	68.65	73.28	73.65	73.65	73.73	71.88	70.72	70.79	71.03	71.31
4	2	67.86	74.51	74.59	74.59	73.87	68.31	74.35	74.79	74.62	74.56	71.17	72.18	71.91	72.29	72.11
4	3	66.75	75.12	74.90	75.19	74.66	66.92	74.97	74.75	75.25	74.59	70.02	72.79	72.34	73.06	72.57
4	4	65.68	75.36	75.09	75.40	74.88	66.07	75.13	75.13	75.51	74.82	67.39	73.37	72.78	73.49	73.06
4	5	64.83	75.57	74.97	75.74	74.51	64.76	75.56	75.31	75.83	75.05	66.20	73.49	72.23	73.47	73.19
5	0	68.94	72.97	72.75	72.72	73.01	68.86	72.84	72.95	72.84	72.98	72.62	70.79	70.34	70.94	71.19
5	1	69.77	74.22	74.57	74.46	74.33	69.94	74.48	74.45	74.65	74.63	73.91	72.82	72.82	73.47	73.10
5	2	69.02	74.74	74.85	75.00	74.58	69.40	75.16	75.14	75.37	75.13	73.58	74.15	74.45	74.72	74.32
5	3	67.61	75.26	75.24	75.30	74.77	68.00	75.16	75.45	75.53	75.14	72.21	74.94	75.27	75.63	75.01
5	4	65.97	75.42	75.49	75.94	74.43	66.51	75.63	75.59	76.19	75.23	70.56	75.24	75.49	75.72	75.70
5	5	64.74	75.73	75.28	75.92	74.65	65.57	75.86	75.37	76.15	75.21	68.38	75.94	75.22	75.88	75.85
