Table 5. Results of the complex fit and random fit heuristics when considering buffering and rearrangement with two valid orientations for the boxes (this side up).

B	R	CUT-1_S	CUT-1_BF	CUT-1_SPF	CUT-1_RF	CUT-1_CF	CUT-2_S	CUT-2_BF	CUT-2_SPF	CUT-2_RF	CUT-2_CF	RS_S	RS_BF	RS_SPF	RS_RF	RS_CF
0	0	55.38	61.38	60.19	62.37	61.81	55.91	61.95	61.14	63.38	62.07	49.40	55.77	53.81	55.24	56.00
0	1	56.72	64.09	62.80	70.58	64.10	57.17	64.18	62.49	70.29	69.43	51.78	58.48	56.46	65.47	65.24
0	2	57.49	65.75	65.00	74.25	65.19	58.22	65.69	65.03	74.39	74.37	52.90	60.49	58.61	70.84	70.84
0	3	58.49	67.06	66.67	76.28	66.39	58.57	66.93	66.86	76.26	76.47	54.22	61.91	59.87	73.88	74.50
0	4	59.07	67.79	68.01	77.27	67.67	59.14	68.03	68.02	77.30	77.95	55.22	62.91	61.25	75.93	76.37
0	5	59.39	68.99	69.11	77.88	68.18	59.77	68.73	68.46	77.96	78.43	55.52	63.61	62.02	77.40	78.17
1	0	63.10	69.65	69.15	64.41	69.74	63.53	69.20	69.02	64.97	64.48	58.80	65.29	64.67	57.37	58.25
1	1	63.60	71.26	70.82	71.71	71.18	63.88	70.73	70.42	71.58	70.89	60.27	66.81	66.11	66.67	66.56
1	2	63.68	72.29	72.00	75.65	71.91	63.98	71.89	72.03	75.82	75.58	59.65	68.00	66.99	72.34	72.35
1	3	64.01	73.16	73.14	77.82	72.66	63.77	72.91	72.70	77.74	77.94	59.87	69.01	68.01	75.99	76.00
1	4	63.64	73.67	73.68	78.45	73.48	63.94	73.61	73.58	78.79	78.69	59.71	69.49	68.65	77.69	78.38
1	5	64.00	74.40	74.16	78.68	73.37	63.74	73.81	73.96	78.78	79.11	59.78	70.14	69.19	79.64	80.03
2	0	68.21	73.78	74.03	65.96	74.25	68.47	73.71	73.89	67.05	65.51	64.83	70.61	70.59	60.04	59.94
2	1	68.16	75.17	75.53	72.98	75.31	68.10	75.57	75.32	72.76	71.75	65.32	72.20	72.04	68.55	67.31
2	2	67.53	75.78	76.41	76.17	76.42	68.09	76.14	76.01	76.50	76.56	64.47	73.43	72.98	73.56	73.06
2	3	67.16	76.62	77.02	78.28	76.76	67.04	76.81	76.28	78.37	78.25	63.91	74.08	73.34	76.84	77.12
2	4	66.79	76.66	76.96	78.98	76.90	66.53	76.79	76.98	79.50	79.30	62.54	73.99	74.03	79.02	79.44
2	5	66.37	77.12	76.99	79.01	77.05	66.43	77.24	77.18	79.30	79.24	62.46	74.49	73.51	80.53	81.10
3	0	70.82	76.17	76.54	68.07	76.54	70.73	75.99	76.00	68.39	66.78	68.22	73.92	74.11	62.23	61.42
3	1	71.11	77.24	77.51	74.21	78.13	71.50	77.45	77.84	73.89	72.45	69.19	75.74	75.65	69.23	68.64
3	2	70.43	78.04	78.48	77.31	78.56	70.07	78.01	78.28	77.24	76.69	68.18	76.71	76.98	74.44	73.40
3	3	69.59	78.43	78.79	78.90	78.63	68.92	78.38	78.80	78.96	78.98	66.98	77.13	77.04	77.61	77.75
3	4	68.27	78.71	78.63	79.18	78.47	68.32	78.64	78.59	79.77	79.48	65.54	77.80	77.33	79.94	80.05
3	5	67.27	78.89	78.87	79.28	78.27	67.63	78.64	79.18	79.76	79.10	64.44	77.74	77.22	81.21	82.01
4	0	72.40	77.31	77.56	69.45	77.55	72.44	76.98	77.49	69.68	67.73	70.77	75.70	76.11	63.67	62.03
4	1	72.56	78.23	78.84	75.04	78.71	72.64	78.12	79.08	74.69	73.48	71.88	77.34	78.26	70.49	68.41
4	2	71.37	78.51	79.26	77.60	78.82	71.88	78.90	79.47	77.85	77.16	71.17	78.70	79.49	74.87	73.64
4	3	70.50	78.85	79.37	79.14	79.16	70.83	79.13	79.46	79.12	78.77	70.02	79.16	80.11	77.91	77.83
4	4	69.17	79.15	79.49	79.55	79.14	69.53	79.30	79.66	80.04	79.35	67.39	79.63	79.74	79.98	80.36
4	5	67.97	3.97	79.43	79.40	78.85	68.80	79.29	79.98	79.75	79.14	66.20	79.77	79.79	81.76	82.43
5	0	73.24	77.51	78.35	70.67	78.27	73.45	77.88	78.45	70.69	68.37	72.62	77.47	77.87	65.09	62.64
5	1	73.23	78.32	78.94	75.40	78.66	73.43	78.64	79.14	75.89	73.51	73.91	78.93	80.23	71.11	68.93
5	2	72.00	78.47	78.97	77.93	78.82	72.43	78.74	79.58	78.03	77.64	73.58	79.93	81.36	74.96	73.86
5	3	70.53	78.75	79.24	79.79	78.60	71.14	79.21	79.56	79.56	78.32	72.21	80.49	82.02	77.78	77.68
5	4	69.23	79.18	79.29	79.33	78.09	69.62	79.15	79.43	80.07	79.42	70.56	80.92	82.25	80.33	80.49
5	5	68.70	78.91	79.07	79.65	78.12	69.06	79.42	79.50	79.96	79.24	68.38	81.28	82.23	81.98	82.32
