episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height
1,0.764,81,0,100,19,10.0,7.64
2,0.877,72,0,100,28,10.0,8.77
3,0.914,73,0,100,27,10.0,9.14
4,0.855,75,0,100,25,10.0,8.55
5,0.787,77,0,100,23,10.0,7.87
6,0.68,80,0,100,20,10.0,6.8
7,0.801,72,0,100,28,10.0,8.01
8,0.819,78,0,100,22,10.0,8.19
9,0.802,77,0,100,23,10.0,8.02
10,0.922,75,0,100,25,10.0,9.22
11,0.826,78,0,100,22,10.0,8.26
12,0.78,78,0,100,22,10.0,7.8
13,0.728,76,0,100,24,10.0,7.28
14,0.713,80,0,100,20,10.0,7.13
15,0.787,82,0,100,18,10.0,7.87
16,0.729,78,0,100,22,10.0,7.29
17,0.816,82,0,100,18,10.0,8.16
18,0.907,74,0,100,26,10.0,9.07
19,0.785,78,0,100,22,10.0,7.85
20,0.827,80,0,100,20,10.0,8.27
21,0.86,74,0,100,26,10.0,8.6
22,0.809,74,0,100,26,10.0,8.09
23,0.834,73,0,100,27,10.0,8.34
24,0.859,75,0,100,25,10.0,8.59
25,0.785,82,0,100,18,10.0,7.85
26,0.8,79,0,100,21,10.0,8.0
27,0.81,76,0,100,24,10.0,8.1
28,0.817,75,0,100,25,10.0,8.17
29,0.745,79,0,100,21,10.0,7.45
30,0.812,77,0,100,23,10.0,8.12
31,0.815,71,0,100,29,10.0,8.15
32,0.858,72,0,100,28,10.0,8.58
33,0.822,71,0,100,29,10.0,8.22
34,0.722,82,0,100,18,10.0,7.22
35,0.898,69,0,100,31,10.0,8.98
36,0.844,71,0,100,29,10.0,8.44
37,0.767,74,0,100,26,10.0,7.67
38,0.814,74,0,100,26,10.0,8.14
39,0.844,74,0,100,26,10.0,8.44
40,0.834,73,0,100,27,10.0,8.34
41,0.775,81,0,100,19,10.0,7.75
42,0.746,75,0,100,25,10.0,7.46
43,0.801,76,0,100,24,10.0,8.01
44,0.814,77,0,100,23,10.0,8.14
45,0.827,75,0,100,25,10.0,8.27
46,0.836,77,0,100,23,10.0,8.36
47,0.838,77,0,100,23,10.0,8.38
