episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.49,1,0,11,10,10.0,4.9,18.181818181818183,27.27272727272727,0.0,54.54545454545454
2,0.281,1,0,10,9,10.0,2.81,30.0,50.0,0.0,20.0
3,0.434,1,0,13,12,10.0,4.34,46.15384615384615,38.46153846153847,7.6923076923076925,7.6923076923076925
4,0.414,1,0,11,10,10.0,4.14,18.181818181818183,27.27272727272727,36.36363636363637,18.181818181818183
5,0.383,1,0,12,11,10.0,3.83,33.33333333333333,8.333333333333332,25.0,33.33333333333333
6,0.485,1,0,15,14,9.0,4.85,33.33333333333333,20.0,13.333333333333334,33.33333333333333
7,0.411,1,0,12,11,10.0,4.11,33.33333333333333,8.333333333333332,25.0,33.33333333333333
8,0.559,1,0,13,12,10.0,5.59,38.46153846153847,15.384615384615385,30.76923076923077,15.384615384615385
9,0.184,1,0,7,6,9.0,1.84,0.0,42.857142857142854,28.57142857142857,28.57142857142857
10,0.41,1,0,10,9,10.0,4.1,30.0,50.0,10.0,10.0
11,0.311,1,0,9,8,9.0,3.11,22.22222222222222,22.22222222222222,44.44444444444444,11.11111111111111
12,0.504,1,0,13,12,10.0,5.04,30.76923076923077,30.76923076923077,15.384615384615385,23.076923076923077
13,0.494,1,0,14,13,10.0,4.94,14.285714285714285,21.428571428571427,35.714285714285715,28.57142857142857
14,0.37,1,0,11,10,10.0,3.7,27.27272727272727,36.36363636363637,9.090909090909092,27.27272727272727
15,0.391,1,0,9,8,10.0,3.91,22.22222222222222,44.44444444444444,11.11111111111111,22.22222222222222
16,0.422,1,0,12,11,10.0,4.22,50.0,0.0,8.333333333333332,41.66666666666667
17,0.44,1,0,9,8,10.0,4.4,22.22222222222222,22.22222222222222,44.44444444444444,11.11111111111111
18,0.517,1,0,11,10,10.0,5.17,9.090909090909092,18.181818181818183,54.54545454545454,18.181818181818183
