episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.614,1,0,14,13,10.0,6.14,7.142857142857142,14.285714285714285,28.57142857142857,50.0
2,0.745,1,0,22,21,10.0,7.45,27.27272727272727,31.818181818181817,18.181818181818183,22.727272727272727
3,0.71,1,0,20,19,10.0,7.1,15.0,35.0,10.0,40.0
4,0.584,1,0,14,13,10.0,5.84,0.0,28.57142857142857,28.57142857142857,42.857142857142854
5,0.553,1,0,15,14,10.0,5.53,40.0,20.0,13.333333333333334,26.666666666666668
6,0.509,1,0,16,15,10.0,5.09,25.0,18.75,25.0,31.25
7,0.626,1,0,15,14,10.0,6.26,20.0,13.333333333333334,13.333333333333334,53.333333333333336
8,0.733,1,0,18,17,10.0,7.33,66.66666666666666,5.555555555555555,16.666666666666664,11.11111111111111
9,0.639,1,0,16,15,10.0,6.39,25.0,37.5,25.0,12.5
10,0.596,1,0,14,13,10.0,5.96,21.428571428571427,14.285714285714285,35.714285714285715,28.57142857142857
11,0.515,1,0,14,13,10.0,5.15,21.428571428571427,35.714285714285715,21.428571428571427,21.428571428571427
12,0.504,1,0,13,12,10.0,5.04,38.46153846153847,38.46153846153847,15.384615384615385,7.6923076923076925
13,0.494,1,0,14,13,10.0,4.94,35.714285714285715,21.428571428571427,28.57142857142857,14.285714285714285
14,0.486,1,0,13,12,10.0,4.86,30.76923076923077,23.076923076923077,38.46153846153847,7.6923076923076925
15,0.471,1,0,11,10,10.0,4.71,18.181818181818183,9.090909090909092,54.54545454545454,18.181818181818183
16,0.422,1,0,12,11,10.0,4.22,25.0,8.333333333333332,41.66666666666667,25.0
17,0.634,1,0,12,11,10.0,6.34,25.0,25.0,33.33333333333333,16.666666666666664
18,0.661,1,0,15,14,10.0,6.61,40.0,6.666666666666667,13.333333333333334,40.0
19,0.475,1,0,14,13,10.0,4.75,35.714285714285715,28.57142857142857,7.142857142857142,28.57142857142857
