episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.582,1,0,13,12,10.0,5.82,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
2,0.595,1,0,18,17,10.0,5.95,38.88888888888889,16.666666666666664,16.666666666666664,27.77777777777778
3,0.434,1,0,13,12,10.0,4.34,23.076923076923077,7.6923076923076925,30.76923076923077,38.46153846153847
4,0.339,1,0,10,9,10.0,3.39,50.0,30.0,20.0,0.0
5,0.601,1,0,16,15,10.0,6.01,18.75,43.75,18.75,18.75
6,0.509,1,0,16,15,10.0,5.09,25.0,25.0,25.0,25.0
7,0.411,1,0,12,11,10.0,4.11,16.666666666666664,50.0,16.666666666666664,16.666666666666664
8,0.559,1,0,13,12,10.0,5.59,38.46153846153847,7.6923076923076925,23.076923076923077,30.76923076923077
9,0.184,1,0,7,6,9.0,1.84,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857
10,0.36,1,0,9,8,10.0,3.6,22.22222222222222,22.22222222222222,33.33333333333333,22.22222222222222
11,0.515,1,0,14,13,9.0,5.15,42.857142857142854,21.428571428571427,14.285714285714285,21.428571428571427
12,0.436,1,0,10,9,10.0,4.36,40.0,20.0,10.0,30.0
13,0.367,1,0,11,10,9.0,3.67,36.36363636363637,27.27272727272727,9.090909090909092,27.27272727272727
14,0.486,1,0,13,12,10.0,4.86,30.76923076923077,46.15384615384615,15.384615384615385,7.6923076923076925
15,0.471,1,0,11,10,10.0,4.71,27.27272727272727,18.181818181818183,0.0,54.54545454545454
16,0.61,1,0,15,14,10.0,6.1,26.666666666666668,26.666666666666668,20.0,26.666666666666668
17,0.57,1,0,11,10,10.0,5.7,36.36363636363637,27.27272727272727,27.27272727272727,9.090909090909092
18,0.661,1,0,15,14,10.0,6.61,33.33333333333333,20.0,20.0,26.666666666666668
19,0.475,1,0,14,13,10.0,4.75,35.714285714285715,28.57142857142857,21.428571428571427,14.285714285714285
20,0.606,1,0,12,11,9.0,6.06,33.33333333333333,25.0,25.0,16.666666666666664
21,0.53,1,0,14,13,10.0,5.3,14.285714285714285,42.857142857142854,28.57142857142857,14.285714285714285
22,0.486,1,0,14,13,10.0,4.86,21.428571428571427,14.285714285714285,42.857142857142854,21.428571428571427
23,0.424,1,0,13,12,10.0,4.24,30.76923076923077,15.384615384615385,30.76923076923077,23.076923076923077
24,0.422,1,0,9,8,10.0,4.22,11.11111111111111,55.55555555555556,22.22222222222222,11.11111111111111
25,0.521,1,0,12,11,9.0,5.21,25.0,25.0,33.33333333333333,16.666666666666664
26,0.53,1,0,11,10,10.0,5.3,27.27272727272727,36.36363636363637,18.181818181818183,18.181818181818183
27,0.321,1,0,12,11,10.0,3.21,25.0,33.33333333333333,25.0,16.666666666666664
28,0.423,1,0,12,11,9.0,4.23,33.33333333333333,16.666666666666664,41.66666666666667,8.333333333333332
29,0.471,1,0,13,12,10.0,4.71,23.076923076923077,38.46153846153847,15.384615384615385,23.076923076923077
30,0.388,1,0,10,9,9.0,3.88,10.0,70.0,20.0,0.0
31,0.488,1,0,16,15,10.0,4.88,18.75,43.75,31.25,6.25
32,0.479,1,0,13,12,10.0,4.79,46.15384615384615,23.076923076923077,15.384615384615385,15.384615384615385
33,0.58,1,0,18,17,10.0,5.8,27.77777777777778,44.44444444444444,5.555555555555555,22.22222222222222
34,0.516,1,0,11,10,10.0,5.16,18.181818181818183,18.181818181818183,36.36363636363637,27.27272727272727
35,0.386,1,0,14,13,10.0,3.86,14.285714285714285,35.714285714285715,21.428571428571427,28.57142857142857
36,0.664,1,0,20,19,10.0,6.64,35.0,10.0,30.0,25.0
37,0.517,1,0,14,13,10.0,5.17,35.714285714285715,28.57142857142857,14.285714285714285,21.428571428571427
