episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.818,82,0,100,18,10.0,8.18,24.0,23.0,28.999999999999996,24.0
2,0.843,72,0,100,28,10.0,8.43,32.0,25.0,21.0,22.0
3,0.776,75,0,100,25,10.0,7.76,27.0,24.0,28.000000000000004,21.0
4,0.84,72,0,100,28,10.0,8.4,22.0,32.0,28.000000000000004,18.0
5,0.795,75,0,100,25,10.0,7.95,23.0,31.0,21.0,25.0
6,0.765,75,0,100,25,10.0,7.65,24.0,24.0,27.0,25.0
7,0.819,72,0,100,28,10.0,8.19,28.000000000000004,17.0,31.0,24.0
8,0.855,74,0,100,26,10.0,8.55,23.0,24.0,19.0,34.0
9,0.774,75,0,100,25,10.0,7.74,27.0,27.0,23.0,23.0
10,0.814,74,0,100,26,10.0,8.14,21.0,24.0,27.0,28.000000000000004
11,0.765,76,0,100,24,10.0,7.65,22.0,28.000000000000004,23.0,27.0
12,0.776,78,0,100,22,10.0,7.76,16.0,26.0,26.0,32.0
13,0.832,71,0,100,29,10.0,8.32,28.999999999999996,23.0,18.0,30.0
14,0.796,75,0,100,25,10.0,7.96,28.000000000000004,23.0,28.999999999999996,20.0
15,0.793,75,0,101,26,10.0,7.93,26.732673267326735,29.7029702970297,20.792079207920793,22.772277227722775
16,0.796,76,0,100,24,10.0,7.96,31.0,17.0,24.0,28.000000000000004
17,0.862,79,0,100,21,10.0,8.62,19.0,28.999999999999996,30.0,22.0
18,0.885,76,0,100,24,10.0,8.85,28.000000000000004,23.0,23.0,26.0
19,0.787,74,0,100,26,10.0,7.87,30.0,28.000000000000004,22.0,20.0
20,0.754,81,0,100,19,10.0,7.54,30.0,16.0,33.0,21.0
21,0.809,76,0,100,24,10.0,8.09,19.0,31.0,31.0,19.0
22,0.817,72,0,100,28,10.0,8.17,26.0,31.0,20.0,23.0
23,0.796,76,0,100,24,10.0,7.96,28.999999999999996,23.0,24.0,24.0
24,0.762,77,0,100,23,10.0,7.62,28.999999999999996,20.0,23.0,28.000000000000004
25,0.761,80,0,100,20,10.0,7.61,26.0,35.0,20.0,19.0
26,0.722,81,0,100,19,10.0,7.22,23.0,28.000000000000004,27.0,22.0
