episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.683,171,0,100,16,10.0,7.52,30.0,24.0,29.0,17.0
2,0.729,159,0,100,25,10.0,8.22,24.0,24.0,27.0,25.0
3,0.746,160,0,100,24,10.0,8.46,31.0,24.0,24.0,21.0
4,0.768,167,0,100,22,10.0,8.81,31.0,16.0,27.0,26.0
5,0.75,165,0,100,22,10.0,8.72,26.0,19.0,26.0,29.0
6,0.77,157,0,100,25,10.0,8.83,24.0,23.0,19.0,34.0
7,0.641,171,0,100,18,10.0,8.27,19.0,24.0,28.0,29.0
8,0.735,163,0,100,22,10.0,8.12,29.0,22.0,22.0,27.0
9,0.779,163,0,100,22,10.0,8.56,24.0,24.0,28.0,24.0
10,0.778,164,0,100,22,10.0,8.3,21.0,27.0,19.0,33.0
11,0.723,166,0,100,20,10.0,8.28,22.0,18.0,24.0,36.0
12,0.712,167,0,100,20,10.0,8.44,23.0,15.0,18.0,44.0
13,0.7,158,0,100,24,10.0,8.4,19.0,24.0,25.0,32.0
14,0.738,160,0,100,21,10.0,8.16,29.0,19.0,28.0,24.0
15,0.825,160,0,100,25,10.0,8.67,24.0,32.0,23.0,21.0
16,0.796,161,0,100,22,10.0,9.02,23.0,21.0,24.0,32.0
17,0.814,171,0,100,18,10.0,8.76,20.0,34.0,18.0,28.0
18,0.841,163,0,100,23,10.0,9.37,19.0,19.0,29.0,33.0
19,0.739,158,0,100,22,10.0,8.18,36.0,23.0,21.0,20.0
20,0.762,166,0,100,20,10.0,8.84,22.0,23.0,22.0,33.0
21,0.742,163,0,100,22,10.0,8.13,23.0,22.0,17.0,38.0
22,0.781,157,0,100,27,10.0,9.21,22.0,20.0,30.0,28.0
23,0.816,156,0,100,25,10.0,8.85,25.0,23.0,25.0,27.0
24,0.734,168,0,100,18,10.0,8.04,23.0,25.0,21.0,31.0
25,0.763,169,0,100,19,10.0,8.61,29.0,20.0,36.0,15.0
26,0.708,173,0,100,15,10.0,7.47,24.0,17.0,29.0,30.0
27,0.75,159,0,100,24,10.0,8.29,20.0,23.0,29.0,28.0
28,0.797,159,0,100,22,10.0,8.86,31.0,24.0,23.0,22.0
29,0.791,159,0,100,23,10.0,8.62,18.0,29.0,27.0,26.0
30,0.819,162,0,100,23,10.0,8.95,29.0,19.0,21.0,31.0
31,0.716,152,0,100,28,10.0,8.03,32.0,17.0,32.0,19.0
32,0.657,167,0,100,18,10.0,8.07,24.0,21.0,34.0,21.0
33,0.76,154,0,100,24,10.0,8.62,25.0,23.0,23.0,29.0
34,0.696,168,0,100,19,10.0,7.89,27.0,19.0,26.0,28.0
35,0.654,159,0,100,22,10.0,7.97,22.0,27.0,28.0,23.0
36,0.692,158,0,100,22,10.0,8.79,26.0,16.0,29.0,29.0
37,0.672,162,0,100,20,10.0,7.67,24.0,23.0,22.0,31.0
38,0.778,153,0,100,24,10.0,8.77,26.0,25.0,20.0,29.0
39,0.828,155,0,100,25,10.0,9.15,36.0,15.0,21.0,28.0
40,0.721,161,0,100,21,10.0,8.52,42.0,15.0,20.0,23.0
41,0.748,166,0,100,20,10.0,8.53,25.0,19.0,26.0,30.0
42,0.684,159,0,100,23,10.0,7.85,26.0,18.0,26.0,30.0
43,0.715,163,0,100,22,10.0,8.02,25.0,20.0,26.0,29.0
44,0.71,166,0,100,19,10.0,8.03,27.0,23.0,37.0,13.0
45,0.761,158,0,100,24,10.0,8.37,21.0,19.0,21.0,39.0
46,0.767,158,0,100,24,10.0,8.32,23.0,26.0,16.0,35.0
47,0.717,161,0,100,22,10.0,8.56,18.0,24.0,40.0,18.0
48,0.699,163,0,100,21,10.0,8.03,20.0,20.0,18.0,42.0
49,0.808,158,0,100,24,10.0,8.91,11.0,23.0,20.0,46.0
50,0.704,162,0,100,21,10.0,8.0,20.0,16.0,36.0,28.0
51,0.811,163,0,100,20,10.0,9.02,30.0,14.0,23.0,33.0
52,0.763,168,0,100,19,10.0,8.34,23.0,21.0,16.0,40.0
53,0.694,160,0,100,24,10.0,8.19,21.0,16.0,21.0,42.0
54,0.731,162,0,100,21,10.0,8.51,18.0,17.0,29.0,36.0
55,0.707,164,0,100,21,10.0,8.3,24.0,21.0,14.0,41.0
56,0.781,161,0,100,22,10.0,9.07,18.0,23.0,19.0,40.0
57,0.747,164,0,100,20,10.0,8.31,17.0,23.0,21.0,39.0
58,0.669,165,0,100,18,10.0,7.69,19.0,20.0,20.0,41.0
59,0.726,171,0,100,17,10.0,8.04,20.0,25.0,22.0,33.0
60,0.734,161,0,100,23,10.0,8.08,15.0,20.0,35.0,30.0
61,0.744,154,0,100,25,10.0,8.56,32.0,18.0,21.0,29.0
62,0.759,159,0,100,23,10.0,9.41,22.0,18.0,24.0,36.0
63,0.717,163,0,100,20,10.0,7.8,16.0,26.0,32.0,26.0
64,0.634,160,0,100,21,10.0,8.08,23.0,24.0,30.0,23.0
65,0.804,159,0,100,23,10.0,8.43,17.0,22.0,20.0,41.0
66,0.758,160,0,100,24,10.0,8.47,21.0,20.0,27.0,32.0
67,0.701,162,0,100,21,10.0,8.14,12.0,16.0,28.0,44.0
68,0.779,159,0,100,23,10.0,8.86,23.0,17.0,22.0,38.0
